No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,1002.7573,399.94676,3591.6999,0.200776170296005,0.0800789770317257,399.94676,0.225629522598632,0.202481240653403,----,----,439.83712584069,78.514292717518,+0.01,0,UNIV,FAST,1,----,2024/11/07,15:42:15
2,1102.8682,450.5211,3261.4587,0.229055662816355,0.0935691220158975,450.5211,0.250011765332087,0.229791778331532,----,----,-568.560709006319,75.1057691460291,+0.04,0,UNIV,FAST,1,----,2024/11/07,15:42:17
3,1188.5754,493.34776,3008.3727,0.253411604614639,0.105184784654502,493.34776,0.269917447460089,0.252080876148912,----,----,-566.501893074247,74.9921910022253,+0.04,0,UNIV,FAST,1,----,2024/11/07,15:42:20
4,1294.6176,546.07098,2708.6792,0.284570881626985,0.120032278419135,546.07098,0.294035473503073,0.279055018357406,----,----,-563.068279663461,74.8519003500657,+0.05,0,UNIV,FAST,1,----,2024/11/07,15:42:23
5,1391.0246,594.87016,2376.6361,0.31885725159088,0.136358957469931,594.87016,0.318969450174898,0.306915612913295,----,----,-557.594203897488,74.7018042868429,+0.03,0,UNIV,FAST,1,----,2024/11/07,15:42:26
6,1466.5362,634.19008,2043.345,0.353887783513222,0.153035514389125,634.19008,0.342860481368442,0.33360043294039,----,----,-548.561234646892,74.5502101926043,+0.03,0,UNIV,FAST,1,----,2024/11/07,15:42:29
7,1563.6634,683.26918,1710.5474,0.395115934357803,0.172652592926067,683.26918,0.369129301104281,0.36291891111531,----,----,-529.500418829851,74.3756845819172,+0.03,0,UNIV,FAST,1,----,2024/11/07,15:42:32
8,1659.7126,731.44668,1402.5686,0.437488573903725,0.192804202920321,731.44668,0.394251656378262,0.390936145553366,----,----,-510.689457718466,74.2002551067485,+0.03,0,UNIV,FAST,1,----,2024/11/07,15:42:35
9,1828.4223,814.03913,991.64648,0.50312823539684,0.223999713316163,814.03913,0.429864303299483,0.430608573205942,----,----,-500.188892409968,73.9369177392014,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:42:38
10,2106.9887,943.80369,738.84288,0.555987199264166,0.249048687474349,943.80369,0.456044027497072,0.459630410403694,----,----,-496.606952298035,73.753306923543,+0.06,0,UNIV,FAST,1,----,2024/11/07,15:42:41
11,2287.5073,1030.253,412.39997,0.613246384719014,0.276195371090583,1030.253,0.482125991753909,0.488567374674822,----,----,-494.333715052259,73.549495936552,+0.04,0,UNIV,FAST,1,----,2024/11/07,15:42:44
12,2324.3095,1048.9178,272.47632,0.637547574424056,0.287713404415469,1048.9178,0.492555710346524,0.50013284253528,----,----,649.002090847145,77.57904752168,+0.06,0,UNIV,FAST,1,----,2024/11/07,15:42:47
13,2363.8895,1070.7883,-1.341604,0.688510930783313,0.31187982733748,1070.7883,0.513283982999746,0.523138491896696,----,----,618.310128778535,100.166021907451,+0.06,0,UNIV,FAST,1,----,2024/11/07,15:42:50
14,2427.8573,1099.6076,-1.365201,0.688539039519654,0.311848130758143,1099.6076,0.513346707396964,0.523127890176876,----,----,618.324840966238,100.164927839561,+0.08,0,UNIV,FAST,1,----,2024/11/07,15:42:53
15,2615.6661,1184.2913,-1.485464,0.688610089549441,0.31178097928693,1184.2913,0.513490404036813,0.523107666839485,----,----,618.35565954276,100.16606195608,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:42:56
16,2612.7155,1182.8752,-1.500054,0.688627590580766,0.311767775302646,1182.8752,0.513521973779793,0.523104378084076,----,----,618.361612801481,100.167344737853,+0.05,0,UNIV,FAST,1,----,2024/11/07,15:42:59
17,2586.8182,1171.1304,-1.474481,0.688629315164463,0.311763202114584,1171.1304,0.513528843920954,0.523102393080248,----,----,618.363803652448,100.166487179128,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:02
18,2586.4185,1170.9295,-1.471629,0.68863249066725,0.311759329737534,1170.9295,0.513536268883596,0.523101046775842,----,----,618.365607688548,100.166275905854,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:05
19,2849.2225,1499.8392,42.362636,0.648815118284666,0.341538208390527,1499.8392,0.447394812425759,0.529897410431723,----,----,607.64969753875,97.1911041434425,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:08
20,2912.1223,1543.1075,45.478708,0.647036415449636,0.342858795955599,1543.1075,0.44468078615695,0.530172814687605,----,----,607.253251760174,97.057229198383,+0.08,0,UNIV,FAST,1,----,2024/11/07,15:43:11
21,2979.9113,1637.0745,58.796769,0.637307500087051,0.35011775587121,1637.0745,0.430119260032018,0.531663094553819,----,----,605.171066594741,96.3336988874423,+0.08,0,UNIV,FAST,1,----,2024/11/07,15:43:14
22,3024.9055,1719.5658,71.866664,0.628050922217218,0.357027644831612,1719.5658,0.416739861158741,0.533033553833985,----,----,603.324956633832,95.6410727877496,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:17
23,3077.2206,1821.713,88.335405,0.617015163392014,0.365272656873659,1821.713,0.401360172829826,0.534611282071967,----,----,601.233076548149,94.814012244919,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:20
24,3107.3192,1914.4133,104.93386,0.606109112979219,0.373422642623461,1914.4133,0.386743199137724,0.536111394431595,----,----,599.236013642988,93.9972722994087,+0.08,0,UNIV,FAST,1,----,2024/11/07,15:43:23
25,3146.1309,2010.2662,121.37095,0.596110111356637,0.380893245204287,2010.2662,0.373824711769234,0.537436684941327,----,----,597.452981744311,93.2485040408076,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:26
26,3093.5406,2080.4529,141.1115,0.582028125502695,0.391422728243374,2080.4529,0.356361032658859,0.539230929648949,----,----,595.030836903962,92.1929417906749,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:29
27,2969.7077,2147.6418,166.95181,0.561986822057276,0.406419254696133,2147.6418,0.332878450604461,0.541647000606859,1705.81010417871,0.000640136279995689,591.796634973438,90.68322133776,+0.09,0,UNIV,FAST,1,----,2024/11/07,15:43:32
28,2814.2065,2187.7154,190.15476,0.542019443141273,0.421356529046318,2187.7154,0.310958592902114,0.543901106945118,1927.71117623913,0.00305926510151744,588.679304405418,89.1870718298504,+0.07,0,UNIV,FAST,1,----,2024/11/07,15:43:35
29,2607.8696,2220.1389,216.51937,0.516970005361473,0.440108362410534,2220.1389,0.285328716242429,0.54654040600342,2254.30903905541,0.00763271386336966,584.815991162888,87.3292820519612,+0.09,0,UNIV,FAST,1,----,2024/11/07,15:43:38
30,2523.9524,2306.9987,242.67167,0.497465522057329,0.454704420210571,2306.9987,0.266683136316258,0.548459119033085,2549.14549800944,0.0125247088395965,581.825831986836,85.8768772338622,+0.10,0,UNIV,FAST,1,----,2024/11/07,15:43:41
31,2440.9957,2379.3276,265.65635,0.479946021805258,0.467820904474126,2379.3276,0.250822369816388,0.550092866285451,2842.47948637508,0.0179443157141624,579.128696017774,84.5687851272048,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:43:44
32,2273.6597,2572.9605,322.01793,0.439895315325548,0.497802406608025,2572.9605,0.217397631043185,0.553534864651162,3579.64850871011,0.0335142791769601,572.851498239047,81.5759171094106,+0.08,0,UNIV,FAST,1,----,2024/11/07,15:43:47
33,2171.8284,2669.1255,351.80184,0.418241971843644,0.51400944578225,2669.1255,0.200797203753456,0.555243732861608,3991.26192968594,0.0432494463866163,569.347215977245,79.9790250812103,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:43:50
34,1995.051,2806.7953,397.27304,0.383728641243307,0.539859756325578,2806.7953,0.176207010716969,0.557779360723979,4634.25804486807,0.0596953386036606,563.535898622872,77.5057919698847,+0.09,0,UNIV,FAST,1,----,2024/11/07,15:43:53
35,1846.7105,2864.7979,423.43616,0.359635917860815,0.557902401189702,2864.7979,0.160273471036991,0.559421729782813,5065.59093559936,0.0713928952303743,559.282842079421,75.8531867896635,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:43:56
36,1711.7936,2881.6092,439.69759,0.340107183914128,0.57253163591279,2881.6092,0.148030932709678,0.56068466406042,5402.99217231405,0.0808249245717224,555.702267532069,74.5872002030108,+0.09,0,UNIV,FAST,1,----,2024/11/07,15:43:59
37,1569.7549,2864.7717,453.32978,0.321154055676243,0.586099810895017,2864.7717,0.136793879469401,0.561703790785167,5720.5141670254,0.0897076682814527,552.109327197277,73.2689030684889,+0.08,0,UNIV,FAST,1,----,2024/11/07,15:44:02
38,1480.9127,2867.7053,538.99777,0.302992863941922,0.586728874557175,2867.7053,0.128458101453108,0.559691973281939,6031.84997194595,0.0953017540234599,548.231717829699,68.4002286457594,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:44:05
39,1396.8131,2813.7939,669.06972,0.286251155588848,0.576635310381791,2813.7939,0.122498100935487,0.555220967387248,6352.75654754665,0.0982081966842727,543.647437676691,60.9323608514057,+0.10,0,UNIV,FAST,1,----,2024/11/07,15:44:08
40,1356.4986,2742.4157,857.88528,0.273664201690398,0.553263382095428,2742.4157,0.12040002332612,0.547675137344272,6665.61319486818,0.0969523518793114,538.174866162386,50.9954785286629,+0.10,0,UNIV,FAST,1,----,2024/11/07,15:44:11
41,1284.0592,2676.217,1095.2092,0.253993256513015,0.529368950407809,2676.217,0.114871368181818,0.538679675959053,7209.03605202883,0.0981744861588598,527.965718911463,40.7066233067259,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:14
42,1259.3848,2598.0579,1386.8012,0.240146115248377,0.49541134042221,2598.0579,0.11348197012151,0.52674420098523,7809.1144941913,0.0951530206382056,516.840790854603,33.0158962060448,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:44:17
43,1263.8675,2531.2685,1707.3827,0.229688905918666,0.460019972308318,2531.2685,0.113977343875019,0.513615023406436,8529.78472344893,0.0903746705581475,508.741337749102,32.0465258947586,+0.14,0,UNIV,FAST,1,----,2024/11/07,15:44:20
44,1256.4235,2511.4186,2062.9204,0.215481851644618,0.430718726753148,2511.4186,0.111393792594609,0.500987124130476,9615.48734012423,0.0887734403858619,502.786720695068,35.8042586898832,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:23
45,652.86755,2106.1215,2502.2035,0.124091172067063,0.400312567917705,2106.1215,0.0656952140902972,0.476842096679526,----,----,495.835717485401,66.8517368807491,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:44:27
46,713.06247,2048.5493,2928.8533,0.125308294002058,0.359996814812185,2048.5493,0.070902348457328,0.458312792252809,----,----,493.358457991756,68.6368136257669,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:29
47,736.54493,1925.0631,3174.2384,0.126210471580213,0.329868704238675,1925.0631,0.0752820790715217,0.442710525686063,----,----,491.501828195786,70.24702269181,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:32
48,751.08954,1771.5625,3386.3192,0.127110034808699,0.299808956254118,1771.5625,0.0801515170975843,0.42536233365522,----,----,489.611937579466,72.0713935570554,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:44:35
49,783.54377,1673.0493,3668.6783,0.127919845941454,0.273138804624096,1673.0493,0.0849708023543396,0.408223229378205,----,----,487.879651082872,73.8607193279061,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:38
50,829.04604,1577.5724,4030.9432,0.128782617761467,0.245057443830549,1577.5724,0.0906421297244016,0.388081794339769,----,----,485.980082745027,75.9713268611451,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:41
51,500.28957,776.24697,2569.544,0.130077767430216,0.201828058962073,776.24697,0.100800683390898,0.351904210947786,----,----,482.864622550984,79.8314192081674,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:45
52,921.76684,1328.7652,4811.1536,0.130530709945338,0.188165442040266,1328.7652,0.104488851909724,0.338906298649873,----,----,481.810030207655,81.1776239436375,+0.13,0,UNIV,FAST,1,----,2024/11/07,15:44:48
53,936.67851,1142.5721,5049.2429,0.131399223228023,0.16028240727121,1142.5721,0.11277474379878,0.309519079988876,----,----,479.518583788253,84.096599426183,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:50
54,967.09075,978.15151,5368.2554,0.132233685571453,0.133746061798836,978.15151,0.121860736102842,0.277322569587796,----,----,477.127650945776,87.0455946687127,+0.13,0,UNIV,FAST,1,----,2024/11/07,15:44:53
55,975.06377,806.01019,5550.8085,0.132989552863072,0.109932230146526,806.01019,0.131243759658009,0.244100513785984,----,----,474.712449668363,89.9087721693585,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:44:56
56,959.76537,625.43072,5592.1993,0.133720565448743,0.0871389530624702,625.43072,0.141569672776478,0.207571096614169,----,----,472.083568137686,92.8968957061612,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:44:59
57,874.1841,466.37239,5171.7791,0.134235112413794,0.0716136912102836,466.37239,0.149528345652552,0.179488230057187,----,----,470.061627763267,95.0898091149609,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:45:03
58,781.14139,383.97012,4645.5771,0.134431810483818,0.0660799684462871,383.97012,0.152585866524663,0.168758091706678,----,----,469.282937582294,95.9052254217427,+0.12,0,UNIV,FAST,1,----,2024/11/07,15:45:05
59,1014.319,452.67347,5092.7677,0.154627451875272,0.0690076250150469,452.67347,0.175771108021494,0.176498285190485,----,----,465.145513292911,90.2001155166156,+0.14,0,UNIV,FAST,1,----,2024/11/07,15:45:08
60,995.13827,381.81263,4633.695,0.165562617821156,0.0635227288967397,381.81263,0.193011366937334,0.166621970701656,----,----,459.769993627229,88.7551277622311,+0.14,0,UNIV,FAST,1,----,2024/11/07,15:45:11
61,961.99038,371.78335,4295.0304,0.170904930742367,0.066050148737366,371.78335,0.198105170682998,0.172265193566598,----,----,457.989253254616,87.1443816305853,+0.11,0,UNIV,FAST,1,----,2024/11/07,15:45:14
62,924.82753,360.08172,3945.1068,0.176830725022345,0.0688490659603234,360.08172,0.203691096003892,0.17844109857432,----,----,455.715164150092,85.3925874182303,+0.13,0,UNIV,FAST,1,----,2024/11/07,15:45:18
63,934.09965,367.56058,3727.1772,0.185748627391997,0.0730905671770742,367.56058,0.211945665254449,0.187647496935873,----,----,451.465559328985,82.8050709184235,+0.13,0,UNIV,FAST,1,----,2024/11/07,15:45:20
64,945.55147,375.58977,3535.2415,0.194702831432928,0.077339408796268,375.58977,0.220086058484499,0.19669967008184,----,----,445.694127014678,80.2349539441273,+0.14,0,UNIV,FAST,1,----,2024/11/07,15:45:23
