No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,----,----,----,----,----,----,----,----,----,----,----,----,+1.13,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:38:27
2,----,----,----,----,----,----,----,----,----,----,----,----,+1.13,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:38:30
3,----,----,----,----,----,----,----,----,----,----,----,----,+1.13,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:38:33
4,5256.1084,3282.0874,1860.7544,0.505446059353184,0.315617186050184,3282.0874,0.350000743969305,0.491742012300894,----,----,627.777660171102,46.328492889105,+1.49,0,UNIV,FAST,1,----,2024/11/15,13:38:36
5,5014.497,2381.65,6488.6449,0.361150317276271,0.171529398290802,2381.65,0.333160492728818,0.3560299860369,----,----,-545.054704456197,68.6144555040355,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:38:39
6,4127.4667,2314.565,6978.385,0.307551307255609,0.172465956291804,2314.565,0.276172029477004,0.348456052998439,----,----,-560.831646306583,58.4592878251627,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:38:42
7,2012.22,2978.847,7359.2354,0.162928804075275,0.24119628034371,2978.847,0.117036092113341,0.389829828119184,----,----,484.423454688484,65.0616904927172,+1.49,0,UNIV,FAST,1,----,2024/11/15,13:38:46
8,1433.1832,3616.6045,5848.8467,0.131501172293659,0.331840152377256,3616.6045,0.0782852309504474,0.444489662391093,----,----,491.621525921788,68.3259482255243,+1.48,0,UNIV,FAST,1,----,2024/11/15,13:38:49
9,3288.6239,4764.7708,1207.6194,0.3551040808803,0.514497737348224,4764.7708,0.167823229513996,0.547094562253675,5086.66500212915,0.0602439841774268,559.395222618056,61.3546870650917,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:38:52
10,----,----,----,----,----,----,----,----,----,----,----,----,+1.50,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:38:54
11,2886.4599,3333.4421,5730.7615,0.241531350958045,0.278933642470981,3333.4421,0.164751393692225,0.428093863862965,18158.903592449,0.020754632387874,483.669141874877,35.5325657267442,+1.48,0,UNIV,FAST,1,----,2024/11/15,13:38:57
12,3610.4193,3937.6409,3796.8837,0.318240383718425,0.3470833293411,3937.6409,0.194984727603386,0.478477565235849,6128.16050183417,0.00953883744065216,504.03200910967,4.57792075014881,+1.47,0,UNIV,FAST,1,----,2024/11/15,13:39:00
13,3147.0175,2730.3926,4328.2149,0.308361075387348,0.267538009676037,2730.3926,0.2205046412991,0.430453450593971,7874.94345536298,-0.0296447150313338,-567.241562694625,21.275563309951,+1.48,0,UNIV,FAST,1,----,2024/11/15,13:39:03
14,4314.0274,3390.5911,3754.941,0.376456651758735,0.295874470567564,3390.5911,0.259733633321166,0.459307172549754,3257.75688012354,-0.0417322134642132,-503.411448778687,22.5833391050127,+1.49,0,UNIV,FAST,1,----,2024/11/15,13:39:06
15,4987.4143,3918.8715,2694.1544,0.429933193397264,0.337820930278146,3918.8715,0.277645624849084,0.490861453844275,2514.51320991789,-0.0273700792747411,605.871811016223,30.3578807374892,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:39:09
16,----,----,----,----,----,----,----,----,----,----,----,----,+1.50,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:39:12
17,2150.7824,3261.6193,4761.319,0.211405685630823,0.320592573373869,3261.6193,0.131628785567835,0.449128057653868,16454.9480271213,0.0566440978622415,490.369657071394,42.0953673827158,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:39:15
18,----,----,----,----,----,----,----,----,----,----,----,----,+1.50,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:39:18
19,4824.6468,2164.0079,77.05519,0.682825487475541,0.306268999674426,2164.0079,0.514410458502905,0.51914135270929,----,----,621.531557553626,96.7685193778547,+1.49,0,UNIV,FAST,1,----,2024/11/15,13:39:21
20,----,----,----,----,----,----,----,----,----,----,----,----,+1.49,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:39:24
21,----,----,----,----,----,----,----,----,----,----,----,----,+1.49,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:39:27
22,----,----,----,----,----,----,----,----,----,----,----,----,+1.49,22:Over the measurement range,UNIV,FAST,1,----,2024/11/15,13:39:30
23,5429.3616,3796.7047,272.44596,0.571601262532876,0.3997157234811,3796.7047,0.343645325294477,0.540693329170926,1611.93935334108,-6.84747874067596e-05,593.251576852879,91.555565793088,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:39:33
24,5463.4454,3046.5062,909.7872,0.579999670479186,0.323417269277148,3046.5062,0.40552272018764,0.508783675756721,----,----,615.148221439287,71.0620297766763,+1.50,0,UNIV,FAST,1,----,2024/11/15,13:39:36
25,5296.0717,2373.8411,241.36425,0.669433223805504,0.300057890148089,2373.8411,0.508897815750613,0.513228651934664,----,----,626.671400552834,90.8683414474226,+1.46,0,UNIV,FAST,1,----,2024/11/15,13:39:40
