No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,1550.9839,709.17051,-0.791349,0.686469531,0.313880723,709.17051,0.509096531,0.523752409,----,----,617.4197923,100.1547512,1.93,0,UNIV,FAST,1,----,2024-11-06,9:45:07
2,1.1287068,6.4919711,1.029494,0.130483742,0.750501976,6.4919711,0.044438695,0.575094546,----,----,522.0396073,83.45245244,1.94,0,UNIV,FAST,1,----,2024-11-06,9:45:11
3,873.23227,311.16185,5251.6115,0.135679227,0.048347044,311.16185,0.164021975,0.131504655,----,----,466.4020965,98.48923652,1.95,0,UNIV,FAST,1,----,2024-11-06,9:45:13
4,1764.019,806.07118,-0.903095,0.686605896,0.313745614,806.07118,0.509376534,0.523710869,----,----,617.4790544,100.155075,1.96,0,UNIV,FAST,1,----,2024-11-06,9:45:16
5,0.0266583,0.0301686,0.022377,0.336578123,0.38089791,0.0301686,0.195185115,0.496994884,5369.548193,0.017374242,557.38129,15.38409597,1.94,0,UNIV,FAST,1,----,2024-11-06,9:45:20
6,825.07948,294.06181,4962.4136,0.135669166,0.048353064,294.06181,0.164005235,0.131517356,----,----,466.4054193,98.49075973,1.95,0,UNIV,FAST,1,----,2024-11-06,9:45:23
7,1979.2074,904.03156,-1.025157,0.68669694,0.313658744,904.03156,0.509559806,0.523684799,----,----,617.5170458,100.1562935,1.96,0,UNIV,FAST,1,----,2024-11-06,9:45:26
8,0.0266215,0.030121,0.0222033,0.337212366,0.381540247,0.030121,0.195370523,0.497368664,5348.746359,0.017407274,557.87552,15.76441482,1.96,0,UNIV,FAST,1,----,2024-11-06,9:45:29
9,777.25679,276.96094,4674.7074,0.13567236,0.048344311,276.96094,0.164014618,0.131497978,----,----,466.4032571,98.49143964,1.97,0,UNIV,FAST,1,----,2024-11-06,9:45:32
10,2215.6252,1011.6409,-1.167625,0.68678164,0.313580291,1011.6409,0.509727696,0.523661726,----,----,617.5512735,100.1581376,1.96,0,UNIV,FAST,1,----,2024-11-06,9:45:34
11,0.0266313,0.0299815,0.0217588,0.339808043,0.382555671,0.0299815,0.196675148,0.498187693,5263.326043,0.016828863,559.8138668,16.8347063,1.99,0,UNIV,FAST,1,----,2024-11-06,9:45:38
12,730.33824,260.19559,4392.3969,0.135676693,0.048337161,260.19559,0.16402454,0.131482283,----,----,466.4010882,98.49155861,1.97,0,UNIV,FAST,1,----,2024-11-06,9:45:40
13,2430.6794,1109.4776,-1.278425,0.686850184,0.313511068,1109.4776,0.509870127,0.523640157,----,----,617.5816219,100.1579063,1.98,0,UNIV,FAST,1,----,2024-11-06,9:45:43
14,0.0266324,0.0299721,0.0216508,0.340327109,0.38300409,0.0299721,0.196851873,0.498458422,5246.792059,0.016825013,560.1479244,17.1235984,2,0,UNIV,FAST,1,----,2024-11-06,9:45:47
15,682.67073,243.18908,4105.623,0.13567983,0.048333481,243.18908,0.164030832,0.131474277,----,----,466.3997604,98.49139043,1.99,0,UNIV,FAST,1,----,2024-11-06,9:45:50
16,2642.6933,1205.8048,-1.393824,0.686930509,0.313431795,1205.8048,0.510035003,0.523615802,----,----,617.6163126,100.158191,2,0,UNIV,FAST,1,----,2024-11-06,9:45:52
17,0.0264133,0.0298803,0.0219284,0.337670988,0.381993557,0.0298803,0.195508167,0.497633618,5333.822412,0.01742663,558.2160229,16.03632288,1.99,0,UNIV,FAST,1,----,2024-11-06,9:45:56
18,636.11708,226.5751,3825.6277,0.135681245,0.048327568,226.5751,0.164036202,0.131461125,----,----,466.3984728,98.49203747,1.98,0,UNIV,FAST,1,----,2024-11-06,9:45:59
