No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,3913.9966,4050.8634,4921.308,0.303736269773916,0.314357487811737,4050.8634,0.197077223407503,0.458929639941161,7202.12871867702,0.000274036066493726,482.955986181765,11.6058365720204,+1.26,0,UNIV,FAST,1,----,2025/01/02,15:13:15
2,4116.5266,3989.6793,4552.4257,0.325195228842903,0.315174611764513,3989.6793,0.212140169836679,0.462607310654991,5888.29559251102,-0.0104717003803837,-568.863875805113,5.64426470233127,+1.28,0,UNIV,FAST,1,----,2025/01/02,15:13:18
3,3344.1037,3144.9885,596.56996,0.471953590855368,0.443852448646804,3144.9885,0.255720938717225,0.54111320645304,2782.39821317786,0.0107403142396277,580.882691992253,74.944544157799,+1.27,0,UNIV,FAST,1,----,2025/01/02,15:13:21
4,3085.59,1988.3138,1174.8392,0.493793711791315,0.318194203218151,1988.3138,0.338751826666356,0.491146295005437,1655.29431408493,-0.0330923576607478,625.434969030922,43.6079856746526,+1.30,0,UNIV,FAST,1,----,2025/01/02,15:13:24
5,2762.2226,1420.6869,465.88633,0.594180235271808,0.305603203916142,1420.6869,0.433797020357656,0.502005857233447,----,----,628.775999760361,69.9480432638978,+1.31,0,UNIV,FAST,1,----,2025/01/02,15:13:27
6,2474.6509,1422.9971,4534.8916,0.293464486072499,0.168750716569419,1422.9971,0.264496819126701,0.342210274910764,----,----,-563.482284774422,57.3458223072589,+1.31,0,UNIV,FAST,1,----,2025/01/02,15:13:30
7,1289.8864,1882.04,4786.5704,0.162076637387101,0.236481844159314,1882.04,0.117582551633724,0.386013758515983,----,----,484.071192674409,65.8081101814353,+1.32,0,UNIV,FAST,1,----,2025/01/02,15:13:33
8,931.83014,2279.2358,3805.6929,0.132800650734635,0.324827438418847,2279.2358,0.0800929336090956,0.44078745255006,----,----,491.172484367496,68.3585567098012,+1.32,0,UNIV,FAST,1,----,2025/01/02,15:13:36
9,1922.7923,2953.0226,783.57741,0.339752431829558,0.521791464214645,2953.0226,0.158355963903692,0.547206614863117,5386.79277497113,0.0671420785979318,555.955135458478,59.0787278454169,+1.31,0,UNIV,FAST,1,----,2025/01/02,15:13:39
10,2158.798,2360.4867,3191.9399,0.27995527454874,0.306110484708226,2360.4867,0.183174387672668,0.450647345529525,9220.98883216721,0.00956673684846362,484.869001297487,20.2179466090257,+1.34,0,UNIV,FAST,1,----,2025/01/02,15:13:42
11,1756.9756,2070.1499,3736.1178,0.232304519411666,0.273711927262739,2070.1499,0.15966127168175,0.42327066045377,23523.2378235283,0.02460121996745,483.705503013244,39.0782571853652,+1.35,0,UNIV,FAST,1,----,2025/01/02,15:13:45
12,2121.3003,2422.3026,2437.7417,0.303852684767917,0.346967917899369,2422.3026,0.185391624479001,0.476320057789951,6815.10443110595,0.016432170872375,497.721975060227,9.23380084918472,+1.37,0,UNIV,FAST,1,----,2025/01/02,15:13:48
13,1859.5442,1669.1123,2776.0901,0.294943527151432,0.2647389983921,1669.1123,0.211164871358426,0.426464850500784,9699.6664199076,-0.0226822627346689,449.968535133263,21.7307432840952,+1.36,0,UNIV,FAST,1,----,2025/01/02,15:13:51
14,2725.2572,2216.7587,2599.7071,0.361357371518418,0.293932659685327,2216.7587,0.249019755431311,0.45575059703705,3838.7943805864,-0.0386899964297519,-511.565019616979,20.5886284031109,+1.37,0,UNIV,FAST,1,----,2025/01/02,15:13:54
15,2940.0322,2411.3339,1725.2373,0.415458099573589,0.340747356281122,2411.3339,0.265551065739368,0.490044852483776,2805.24257051158,-0.0246836805093856,602.655627705577,26.8957348381324,+1.38,0,UNIV,FAST,1,----,2025/01/02,15:13:57
16,3148.7682,3094.2899,1999.5075,0.382013119798525,0.375403733517147,3094.2899,0.226686486960234,0.501220077394693,3947.12862590413,-0.00109098086835498,579.873139028657,27.3008548658739,+1.37,0,UNIV,FAST,1,----,2025/01/02,15:14:00
17,1280.4616,2020.8011,3085.1651,0.200497310875416,0.316421192454411,2020.8011,0.125388017413858,0.445241425367752,19565.0776843844,0.0617103892832881,490.075686278182,46.0771044831678,+1.39,0,UNIV,FAST,1,----,2025/01/02,15:14:03
18,4182.2582,4292.9754,5023.5539,0.309824730554504,0.318026741290653,4292.9754,0.19999429295903,0.461899699205658,6769.88336342516,-0.00104664789740022,482.800761956695,9.24382172611198,+1.39,0,UNIV,FAST,1,----,2025/01/02,15:14:06
19,2798.7721,1291.205,-1.323738,0.68452173667052,0.315802022250278,1291.205,0.505127965232698,0.524338315107415,----,----,616.597240944237,100.147557610703,+1.39,0,UNIV,FAST,1,----,2025/01/02,15:14:09
20,3495.0321,3631.1383,4956.6762,0.289255687480134,0.300520102605623,3631.1383,0.191950000663993,0.448706393273501,8613.38553715481,0.00120129662190548,481.357057648477,17.7850172617668,+1.39,0,UNIV,FAST,1,----,2025/01/02,15:14:12
21,3062.0398,3535.2136,3636.923,0.299197481098723,0.34543215416924,3535.2136,0.182805582903069,0.474872260438427,7066.23035646157,0.0180361013056804,496.288131835727,10.8507611787855,+1.44,0,UNIV,FAST,1,----,2025/01/02,15:14:15
22,3499.9298,2919.9121,1801.6989,0.425702418213384,0.35515387821222,2919.9121,0.265630630770799,0.498621632087063,2757.77039972487,-0.0192521690321702,594.920449617814,34.315705922663,+1.41,0,UNIV,FAST,1,----,2025/01/02,15:14:18
23,3182.2189,2325.0686,181.96097,0.559339061526346,0.408677633304351,2325.0686,0.329728330438221,0.542056431810127,1734.98919232764,0.000976785821261268,591.34097422754,90.5673320303453,+1.42,0,UNIV,FAST,1,----,2025/01/02,15:14:21
24,3149.9788,1822.0629,541.26795,0.571340809780202,0.330484412389208,1822.0629,0.392462939603676,0.510783553280675,----,----,611.547770532827,70.5899601736527,+1.42,0,UNIV,FAST,1,----,2025/01/02,15:14:24
25,3132.6025,1624.2056,321.99398,0.616799483550656,0.31980092439436,1624.2056,0.440255638084441,0.513597803685187,----,----,616.260260822021,81.0211777320273,+1.45,0,UNIV,FAST,1,----,2025/01/02,15:14:27
26,2854.1379,1276.6208,4523.8611,0.329782008448251,0.147507438743872,1276.6208,0.320914713861743,0.322967715459504,----,----,-555.296612475534,72.3190795946492,+1.45,0,UNIV,FAST,1,----,2025/01/02,15:14:30
27,1968.5011,914.92061,4538.85,0.265215445743901,0.12326692497222,914.92061,0.26865611056984,0.280948676262496,----,----,-565.819465064957,70.0473766687936,+1.44,0,UNIV,FAST,1,----,2025/01/02,15:14:33
28,1781.6056,1518.0573,4684.5421,0.223141264534165,0.190132555464195,1518.0573,0.18459321162981,0.353895336319905,----,----,470.441323297124,52.3755351253075,+1.45,0,UNIV,FAST,1,----,2025/01/02,15:14:36
29,872.97814,2559.9764,3505.5966,0.125815623807595,0.368949705543281,2559.9764,0.0701336345153212,0.462744703678671,----,----,493.913172835079,67.9360548875202,+1.47,0,UNIV,FAST,1,----,2025/01/02,15:14:39
30,2559.409,3611.8754,1449.6025,0.33584135725725,0.47394423344611,3611.8754,0.167592865165166,0.532146378534091,5447.20067333808,0.0535520284426153,555.240455729794,43.4186435552833,+1.46,0,UNIV,FAST,1,----,2025/01/02,15:14:42
31,881.46461,1132.463,4656.554,0.132144073177349,0.169772299244822,1132.463,0.110743467229735,0.320125135870313,----,----,480.254250025117,82.752824399601,+1.46,0,UNIV,FAST,1,----,2025/01/02,15:14:45
32,349.72203,2277.5191,452.52443,0.113554757070535,0.739510542484279,2277.5191,0.0389987434938056,0.571442016855706,----,----,518.624001185332,81.5828575109083,+1.48,0,UNIV,FAST,1,----,2025/01/02,15:14:48
33,3364.7072,3508.5558,416.32687,0.4615770242229,0.481310452655137,3508.5558,0.235121466172328,0.551640203238995,3170.91985456288,0.0245110115779519,576.296824984395,83.1140657750755,+1.48,0,UNIV,FAST,1,----,2025/01/02,15:14:51
34,350.29524,2276.5143,451.76938,0.113784719866788,0.739469202887935,2276.5143,0.0390809287076223,0.571456978363197,----,----,518.652513818218,81.5612583947949,+1.49,0,UNIV,FAST,1,----,2025/01/02,15:14:54
