No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,761.12602,346.36006,-0.432474,0.687524087248219,0.312866565921289,346.36006,0.51123203245525,0.523445912713673,----,----,617.862627296654,100.166476739391,+1.68,0,UNIV,FAST,1,----,2024/11/20,17:51:03
2,762.56224,4996.5164,1051.7042,0.111963963308512,0.733618516017756,4996.5164,0.0386766332761764,0.570194733268858,----,----,517.963639727605,80.7128436103888,+1.72,0,UNIV,FAST,1,----,2024/11/20,17:51:06
3,1433.4364,509.02452,8587.5376,0.136128832048497,0.0483404170506949,509.02452,0.164614192985603,0.131525532825725,----,----,466.296004734601,98.3765608541731,+1.74,0,UNIV,FAST,1,----,2024/11/20,17:51:08
4,----,----,----,----,----,----,----,----,----,----,----,----,+1.74,22:Over the measurement range,UNIV,FAST,1,----,2024/11/20,17:51:10
5,1682.5273,2009.5339,2041.4143,0.293456787248851,0.350491407872938,2009.5339,0.177342515043441,0.476572083409804,7302.8381657654,0.0232346389447937,497.292097566196,12.5420617262089,+1.96,0,UNIV,FAST,1,----,2024/11/20,17:51:25
6,2824.7565,3211.981,3342.7872,0.301162008774283,0.342446030340962,3211.981,0.185130288503681,0.473643898401957,6996.5252119941,0.0156469007151473,495.357750741487,10.338199435223,+2.02,0,UNIV,FAST,1,----,2024/11/20,17:51:30
